DateKey,Date,Week_No,Month,Month_short,Month_No,Quarter,Year
20220101,01/01/2022,1,January,Jan,1,1,2022
20220102,02/01/2022,2,January,Jan,1,1,2022
20220103,03/01/2022,2,January,Jan,1,1,2022
20220104,04/01/2022,2,January,Jan,1,1,2022
20220105,05/01/2022,2,January,Jan,1,1,2022
20220106,06/01/2022,2,January,Jan,1,1,2022
20220107,07/01/2022,2,January,Jan,1,1,2022
20220108,08/01/2022,2,January,Jan,1,1,2022
20220109,09/01/2022,3,January,Jan,1,1,2022
20220110,10/01/2022,3,January,Jan,1,1,2022
20220111,11/01/2022,3,January,Jan,1,1,2022
20220112,12/01/2022,3,January,Jan,1,1,2022
20220113,13/01/2022,3,January,Jan,1,1,2022
20220114,14/01/2022,3,January,Jan,1,1,2022
20220115,15/01/2022,3,January,Jan,1,1,2022
20220116,16/01/2022,4,January,Jan,1,1,2022
20220117,17/01/2022,4,January,Jan,1,1,2022
20220118,18/01/2022,4,January,Jan,1,1,2022
20220119,19/01/2022,4,January,Jan,1,1,2022
20220120,20/01/2022,4,January,Jan,1,1,2022
20220121,21/01/2022,4,January,Jan,1,1,2022
20220122,22/01/2022,4,January,Jan,1,1,2022
20220123,23/01/2022,5,January,Jan,1,1,2022
20220124,24/01/2022,5,January,Jan,1,1,2022
20220125,25/01/2022,5,January,Jan,1,1,2022
20220126,26/01/2022,5,January,Jan,1,1,2022
20220127,27/01/2022,5,January,Jan,1,1,2022
20220128,28/01/2022,5,January,Jan,1,1,2022
20220129,29/01/2022,5,January,Jan,1,1,2022
20220130,30/01/2022,6,January,Jan,1,1,2022
20220131,31/01/2022,6,January,Jan,1,1,2022
20220201,01/02/2022,6,February,Feb,2,1,2022
20220202,02/02/2022,6,February,Feb,2,1,2022
20220203,03/02/2022,6,February,Feb,2,1,2022
20220204,04/02/2022,6,February,Feb,2,1,2022
20220205,05/02/2022,6,February,Feb,2,1,2022
20220206,06/02/2022,7,February,Feb,2,1,2022
20220207,07/02/2022,7,February,Feb,2,1,2022
20220208,08/02/2022,7,February,Feb,2,1,2022
20220209,09/02/2022,7,February,Feb,2,1,2022
20220210,10/02/2022,7,February,Feb,2,1,2022
20220211,11/02/2022,7,February,Feb,2,1,2022
20220212,12/02/2022,7,February,Feb,2,1,2022
20220213,13/02/2022,8,February,Feb,2,1,2022
20220214,14/02/2022,8,February,Feb,2,1,2022
20220215,15/02/2022,8,February,Feb,2,1,2022
20220216,16/02/2022,8,February,Feb,2,1,2022
20220217,17/02/2022,8,February,Feb,2,1,2022
20220218,18/02/2022,8,February,Feb,2,1,2022
20220219,19/02/2022,8,February,Feb,2,1,2022
20220220,20/02/2022,9,February,Feb,2,1,2022
20220221,21/02/2022,9,February,Feb,2,1,2022
20220222,22/02/2022,9,February,Feb,2,1,2022
20220223,23/02/2022,9,February,Feb,2,1,2022
20220224,24/02/2022,9,February,Feb,2,1,2022
20220225,25/02/2022,9,February,Feb,2,1,2022
20220226,26/02/2022,9,February,Feb,2,1,2022
20220227,27/02/2022,10,February,Feb,2,1,2022
20220228,28/02/2022,10,February,Feb,2,1,2022
20220301,01/03/2022,10,March,Mar,3,1,2022
20220302,02/03/2022,10,March,Mar,3,1,2022
20220303,03/03/2022,10,March,Mar,3,1,2022
20220304,04/03/2022,10,March,Mar,3,1,2022
20220305,05/03/2022,10,March,Mar,3,1,2022
20220306,06/03/2022,11,March,Mar,3,1,2022
20220307,07/03/2022,11,March,Mar,3,1,2022
20220308,08/03/2022,11,March,Mar,3,1,2022
20220309,09/03/2022,11,March,Mar,3,1,2022
20220310,10/03/2022,11,March,Mar,3,1,2022
20220311,11/03/2022,11,March,Mar,3,1,2022
20220312,12/03/2022,11,March,Mar,3,1,2022
20220313,13/03/2022,12,March,Mar,3,1,2022
20220314,14/03/2022,12,March,Mar,3,1,2022
20220315,15/03/2022,12,March,Mar,3,1,2022
20220316,16/03/2022,12,March,Mar,3,1,2022
20220317,17/03/2022,12,March,Mar,3,1,2022
20220318,18/03/2022,12,March,Mar,3,1,2022
20220319,19/03/2022,12,March,Mar,3,1,2022
20220320,20/03/2022,13,March,Mar,3,1,2022
20220321,21/03/2022,13,March,Mar,3,1,2022
20220322,22/03/2022,13,March,Mar,3,1,2022
20220323,23/03/2022,13,March,Mar,3,1,2022
20220324,24/03/2022,13,March,Mar,3,1,2022
20220325,25/03/2022,13,March,Mar,3,1,2022
20220326,26/03/2022,13,March,Mar,3,1,2022
20220327,27/03/2022,14,March,Mar,3,1,2022
20220328,28/03/2022,14,March,Mar,3,1,2022
20220329,29/03/2022,14,March,Mar,3,1,2022
20220330,30/03/2022,14,March,Mar,3,1,2022
20220331,31/03/2022,14,March,Mar,3,1,2022
20220401,01/04/2022,14,April,Apr,4,2,2022
20220402,02/04/2022,14,April,Apr,4,2,2022
20220403,03/04/2022,15,April,Apr,4,2,2022
20220404,04/04/2022,15,April,Apr,4,2,2022
20220405,05/04/2022,15,April,Apr,4,2,2022
20220406,06/04/2022,15,April,Apr,4,2,2022
20220407,07/04/2022,15,April,Apr,4,2,2022
20220408,08/04/2022,15,April,Apr,4,2,2022
20220409,09/04/2022,15,April,Apr,4,2,2022
20220410,10/04/2022,16,April,Apr,4,2,2022
20220411,11/04/2022,16,April,Apr,4,2,2022
20220412,12/04/2022,16,April,Apr,4,2,2022
20220413,13/04/2022,16,April,Apr,4,2,2022
20220414,14/04/2022,16,April,Apr,4,2,2022
20220415,15/04/2022,16,April,Apr,4,2,2022
20220416,16/04/2022,16,April,Apr,4,2,2022
20220417,17/04/2022,17,April,Apr,4,2,2022
20220418,18/04/2022,17,April,Apr,4,2,2022
20220419,19/04/2022,17,April,Apr,4,2,2022
20220420,20/04/2022,17,April,Apr,4,2,2022
20220421,21/04/2022,17,April,Apr,4,2,2022
20220422,22/04/2022,17,April,Apr,4,2,2022
20220423,23/04/2022,17,April,Apr,4,2,2022
20220424,24/04/2022,18,April,Apr,4,2,2022
20220425,25/04/2022,18,April,Apr,4,2,2022
20220426,26/04/2022,18,April,Apr,4,2,2022
20220427,27/04/2022,18,April,Apr,4,2,2022
20220428,28/04/2022,18,April,Apr,4,2,2022
20220429,29/04/2022,18,April,Apr,4,2,2022
20220430,30/04/2022,18,April,Apr,4,2,2022
20220501,01/05/2022,19,May,May,5,2,2022
20220502,02/05/2022,19,May,May,5,2,2022
20220503,03/05/2022,19,May,May,5,2,2022
20220504,04/05/2022,19,May,May,5,2,2022
20220505,05/05/2022,19,May,May,5,2,2022
20220506,06/05/2022,19,May,May,5,2,2022
20220507,07/05/2022,19,May,May,5,2,2022
20220508,08/05/2022,20,May,May,5,2,2022
20220509,09/05/2022,20,May,May,5,2,2022
20220510,10/05/2022,20,May,May,5,2,2022
20220511,11/05/2022,20,May,May,5,2,2022
20220512,12/05/2022,20,May,May,5,2,2022
20220513,13/05/2022,20,May,May,5,2,2022
20220514,14/05/2022,20,May,May,5,2,2022
20220515,15/05/2022,21,May,May,5,2,2022
20220516,16/05/2022,21,May,May,5,2,2022
20220517,17/05/2022,21,May,May,5,2,2022
20220518,18/05/2022,21,May,May,5,2,2022
20220519,19/05/2022,21,May,May,5,2,2022
20220520,20/05/2022,21,May,May,5,2,2022
20220521,21/05/2022,21,May,May,5,2,2022
20220522,22/05/2022,22,May,May,5,2,2022
20220523,23/05/2022,22,May,May,5,2,2022
20220524,24/05/2022,22,May,May,5,2,2022
20220525,25/05/2022,22,May,May,5,2,2022
20220526,26/05/2022,22,May,May,5,2,2022
20220527,27/05/2022,22,May,May,5,2,2022
20220528,28/05/2022,22,May,May,5,2,2022
20220529,29/05/2022,23,May,May,5,2,2022
20220530,30/05/2022,23,May,May,5,2,2022
20220531,31/05/2022,23,May,May,5,2,2022
20220601,01/06/2022,23,June,Jun,6,2,2022
20220602,02/06/2022,23,June,Jun,6,2,2022
20220603,03/06/2022,23,June,Jun,6,2,2022
20220604,04/06/2022,23,June,Jun,6,2,2022
20220605,05/06/2022,24,June,Jun,6,2,2022
20220606,06/06/2022,24,June,Jun,6,2,2022
20220607,07/06/2022,24,June,Jun,6,2,2022
20220608,08/06/2022,24,June,Jun,6,2,2022
20220609,09/06/2022,24,June,Jun,6,2,2022
20220610,10/06/2022,24,June,Jun,6,2,2022
20220611,11/06/2022,24,June,Jun,6,2,2022
20220612,12/06/2022,25,June,Jun,6,2,2022
20220613,13/06/2022,25,June,Jun,6,2,2022
20220614,14/06/2022,25,June,Jun,6,2,2022
20220615,15/06/2022,25,June,Jun,6,2,2022
